11/24/20 09:59:29-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 09:59:29-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:01:34-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:01:35-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 10:01:35-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:01:35-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:01:35-INF-\033[0;32mProceso principal en ejecución Nº 5304 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 10:01:35-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 10:16:51-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./frenarProceso.sh-isaac
11/24/20 10:16:51-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./frenarProceso.sh-isaac
11/24/20 10:17:32-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./frenarProceso.sh-isaac
11/24/20 10:17:32-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./frenarProceso.sh-isaac
11/24/20 10:20:25-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:20:25-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:20:31-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:20:31-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 10:20:31-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:20:31-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:20:31-INF-\033[0;32mProceso principal en ejecución Nº 6623 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 10:20:31-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 10:20:53-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./frenarProceso.sh-isaac
11/24/20 10:20:53-WAR-\033[0;33m Ambiente inicializado y proceso principal en ejecuión, debe ejecutar [frenarproceso.sh pprincipal] para reiniciar \033[0m-./frenarProceso.sh-isaac
11/24/20 10:23:46-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:23:46-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-/bin/bash-isaac
11/24/20 10:23:54-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:23:54-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:24:02-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:24:02-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:24:06-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:24:06-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 10:24:06-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:24:06-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:24:06-INF-\033[0;32mProceso principal en ejecución Nº 6905 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 10:24:06-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 10:25:04-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:25:04-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:25:07-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:25:07-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 10:25:07-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:25:07-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:25:08-INF-\033[0;32mProceso principal en ejecución Nº 7048 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 10:25:08-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 10:26:10-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:26:10-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:26:16-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:26:16-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 10:26:16-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:26:16-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:26:16-INF-\033[0;32mProceso principal en ejecución Nº 7222 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 10:26:16-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 10:26:38-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:26:38-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:26:41-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mProceso principal en ejecución Nº 7322 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 10:27:40-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:27:40-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-/bin/bash-isaac
11/24/20 11:13:57-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:13:57-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:30:50-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:30:50-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:30:59-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:30:59-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 11:30:59-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:30:59-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:31:00-INF-\033[0;32mProceso principal en ejecución Nº 4433 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 11:31:00-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 11:31:20-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:31:20-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-/bin/bash-isaac
11/24/20 11:37:51-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
